                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.78715,                0.55168,                0.95044,                0.85633,                0.85716,                  0.882,                0.72115,                0.73152,                0.69784,                0.93412,              0.0011059,              0.0011059,              0.0011059
                     37,                0.79938,                 0.5446,                0.95955,                 0.8585,                 0.8447,                0.90218,                0.73679,                0.75306,                0.66185,                0.95724,              0.0010894,              0.0010894,              0.0010894
                     38,                0.76868,                0.53155,                0.95298,                0.90193,                0.88699,                0.91518,                0.75449,                0.74887,                0.59351,                0.94549,              0.0010729,              0.0010729,              0.0010729
                     39,                0.78439,                0.54848,                0.95439,                0.84542,                0.85446,                0.90321,                0.69413,                0.90033,                0.66136,                 1.0178,              0.0010564,              0.0010564,              0.0010564
                     40,                0.75135,                0.52052,                0.94567,                0.88211,                0.86662,                0.88637,                0.72205,                0.75471,                0.66111,                0.95022,              0.0010399,              0.0010399,              0.0010399
                     41,                0.76096,                  0.523,                0.95071,                0.90109,                0.86377,                 0.9197,                0.75044,                0.75835,                0.60265,                0.96026,              0.0010234,              0.0010234,              0.0010234
                     42,                0.75619,                0.53507,                0.94416,                0.82622,                0.86341,                0.89004,                0.72172,                0.78259,                0.68013,                0.95917,              0.0010069,              0.0010069,              0.0010069
                     43,                0.74543,                0.51998,                0.93862,                0.89602,                0.88063,                0.91306,                0.74755,                0.76299,                0.62582,                0.96034,             0.00099036,             0.00099036,             0.00099036
                     44,                0.75033,                0.50876,                 0.9436,                0.86489,                0.85853,                0.89296,                0.73974,                0.70731,                0.63845,                0.92629,             0.00097386,             0.00097386,             0.00097386
                     45,                0.73765,                 0.5002,                0.93503,                0.90482,                  0.889,                0.91439,                0.75626,                0.73355,                0.59262,                0.94623,             0.00095736,             0.00095736,             0.00095736
                     46,                0.72919,                0.50136,                0.93788,                0.87605,                0.86568,                0.91078,                0.75135,                0.74238,                0.60848,                0.95441,             0.00094085,             0.00094085,             0.00094085
                     47,                0.73293,                0.49117,                 0.9303,                0.88317,                0.86477,                0.89857,                0.75217,                0.70671,                0.62512,                0.94686,             0.00092435,             0.00092435,             0.00092435
